x: -0.08, y: -0.08, b: 0.050000 
x: -0.08, y: -0.06, b: 0.050000 
x: -0.08, y: -0.04, b: 0.050000 
x: -0.08, y: -0.02, b: 0.050000 
x: -0.08, y: 0.00, b: 0.050000 
x: -0.08, y: 0.02, b: 0.050000 
x: -0.08, y: 0.04, b: 0.050000 
x: -0.08, y: 0.06, b: 0.050000 
x: -0.08, y: 0.08, b: 0.050000 
x: -0.08, y: 0.10, b: 0.050000 
x: -0.08, y: 0.12, b: 0.050000 
x: -0.08, y: 0.14, b: 0.050000 
x: -0.08, y: 0.16, b: 0.070028 
x: -0.08, y: 0.18, b: 0.158807 
x: -0.08, y: 0.20, b: 0.260483 
x: -0.08, y: 0.22, b: 0.384961 
x: -0.08, y: 0.24, b: 0.569269 
x: -0.07, y: -0.24, b: 0.050000 
x: -0.07, y: -0.22, b: 0.050000 
x: -0.07, y: -0.20, b: 0.050000 
x: -0.07, y: -0.18, b: 0.050000 
x: -0.07, y: -0.16, b: 0.050000 
x: -0.07, y: -0.14, b: 0.050000 
x: -0.07, y: -0.12, b: 0.050000 
x: -0.07, y: -0.10, b: 0.050000 
x: -0.07, y: -0.08, b: 0.050000 
x: -0.07, y: -0.06, b: 0.050000 
x: -0.07, y: -0.04, b: 0.050000 
x: -0.07, y: -0.02, b: 0.050000 
x: -0.07, y: 0.00, b: 0.050000 
x: -0.07, y: 0.02, b: 0.050000 
x: -0.07, y: 0.04, b: 0.050000 
x: -0.07, y: 0.06, b: 0.050000 
x: -0.07, y: 0.08, b: 0.050000 
x: -0.07, y: 0.10, b: 0.050000 
x: -0.07, y: 0.12, b: 0.050000 
x: -0.07, y: 0.14, b: 0.050000 
x: -0.07, y: 0.16, b: 0.064653 
x: -0.07, y: 0.18, b: 0.152331 
x: -0.07, y: 0.20, b: 0.252279 
x: -0.07, y: 0.22, b: 0.372714 
x: -0.07, y: 0.24, b: 0.541976 
x: -0.06, y: -0.24, b: 0.050000 
x: -0.06, y: -0.22, b: 0.050000 
x: -0.06, y: -0.20, b: 0.050000 
x: -0.06, y: -0.18, b: 0.050000 
x: -0.06, y: -0.16, b: 0.050000 
x: -0.06, y: -0.14, b: 0.050000 
x: -0.06, y: -0.12, b: 0.050000 
x: -0.06, y: -0.10, b: 0.050000 
x: -0.06, y: -0.08, b: 0.050000 
x: -0.06, y: -0.06, b: 0.050000 
x: -0.06, y: -0.04, b: 0.050000 
x: -0.06, y: -0.02, b: 0.050000 
x: -0.06, y: 0.00, b: 0.050000 
x: -0.06, y: 0.02, b: 0.050000 
x: -0.06, y: 0.04, b: 0.050000 
x: -0.06, y: 0.06, b: 0.050000 
x: -0.06, y: 0.08, b: 0.050000 
x: -0.06, y: 0.10, b: 0.050000 
x: -0.06, y: 0.12, b: 0.050000 
x: -0.06, y: 0.14, b: 0.050000 
x: -0.06, y: 0.16, b: 0.060125 
x: -0.06, y: 0.18, b: 0.146891 
x: -0.06, y: 0.20, b: 0.245426 
x: -0.06, y: 0.22, b: 0.363154 
x: -0.06, y: 0.24, b: 0.523046 
x: -0.05, y: -0.24, b: 0.050000 
x: -0.05, y: -0.22, b: 0.050000 
x: -0.05, y: -0.20, b: 0.050000 
x: -0.05, y: -0.18, b: 0.050000 
x: -0.05, y: -0.16, b: 0.050000 
x: -0.05, y: -0.14, b: 0.050000 
x: -0.05, y: -0.12, b: 0.050000 
x: -0.05, y: -0.10, b: 0.050000 
x: -0.05, y: -0.08, b: 0.050000 
x: -0.05, y: -0.06, b: 0.050000 
x: -0.05, y: -0.04, b: 0.050000 
x: -0.05, y: -0.02, b: 0.050000 
x: -0.05, y: 0.00, b: 0.050000 
x: -0.05, y: 0.02, b: 0.050000 
x: -0.05, y: 0.04, b: 0.050000 
x: -0.05, y: 0.06, b: 0.050000 
x: -0.05, y: 0.08, b: 0.050000 
x: -0.05, y: 0.10, b: 0.050000 
x: -0.05, y: 0.12, b: 0.050000 
x: -0.05, y: 0.14, b: 0.050000 
x: -0.05, y: 0.16, b: 0.056364 
x: -0.05, y: 0.18, b: 0.142156 
x: -0.05, y: 0.20, b: 0.239800 
x: -0.05, y: 0.22, b: 0.354958 
x: -0.05, y: 0.24, b: 0.508701 
x: -0.04, y: -0.24, b: 0.050000 
x: -0.04, y: -0.22, b: 0.050000 
x: -0.04, y: -0.20, b: 0.050000 
x: -0.04, y: -0.18, b: 0.050000 
x: -0.04, y: -0.16, b: 0.050000 
x: -0.04, y: -0.14, b: 0.050000 
x: -0.04, y: -0.12, b: 0.050000 
x: -0.04, y: -0.10, b: 0.050000 
x: -0.04, y: -0.08, b: 0.050000 
x: -0.04, y: -0.06, b: 0.050000 
x: -0.04, y: -0.04, b: 0.050000 
x: -0.04, y: -0.02, b: 0.050000 
x: -0.04, y: 0.00, b: 0.050000 
x: -0.04, y: 0.02, b: 0.050000 
x: -0.04, y: 0.04, b: 0.050000 
x: -0.04, y: 0.06, b: 0.050000 
x: -0.04, y: 0.08, b: 0.050000 
x: -0.04, y: 0.10, b: 0.050000 
x: -0.04, y: 0.12, b: 0.050000 
x: -0.04, y: 0.14, b: 0.050000 
x: -0.04, y: 0.16, b: 0.053330 
x: -0.04, y: 0.18, b: 0.138615 
x: -0.04, y: 0.20, b: 0.235010 
x: -0.04, y: 0.22, b: 0.348958 
x: -0.04, y: 0.24, b: 0.497826 
x: -0.03, y: -0.24, b: 0.050000 
x: -0.03, y: -0.22, b: 0.050000 
x: -0.03, y: -0.20, b: 0.050000 
x: -0.03, y: -0.18, b: 0.050000 
x: -0.03, y: -0.16, b: 0.050000 
x: -0.03, y: -0.14, b: 0.050000 
x: -0.03, y: -0.12, b: 0.050000 
x: -0.03, y: -0.10, b: 0.050000 
x: -0.03, y: -0.08, b: 0.050000 
x: -0.03, y: -0.06, b: 0.050000 
x: -0.03, y: -0.04, b: 0.050000 
x: -0.03, y: -0.02, b: 0.050000 
x: -0.03, y: 0.00, b: 0.050000 
x: -0.03, y: 0.02, b: 0.050000 
x: -0.03, y: 0.04, b: 0.050000 
x: -0.03, y: 0.06, b: 0.050000 
x: -0.03, y: 0.08, b: 0.050000 
x: -0.03, y: 0.10, b: 0.050000 
x: -0.03, y: 0.12, b: 0.050000 
x: -0.03, y: 0.14, b: 0.050000 
x: -0.03, y: 0.16, b: 0.051017 
x: -0.03, y: 0.18, b: 0.135891 
x: -0.03, y: 0.20, b: 0.231667 
x: -0.03, y: 0.22, b: 0.344428 
x: -0.03, y: 0.24, b: 0.490296 
x: -0.02, y: -0.24, b: 0.050000 
x: -0.02, y: -0.22, b: 0.050000 
x: -0.02, y: -0.20, b: 0.050000 
x: -0.02, y: -0.18, b: 0.050000 
x: -0.02, y: -0.16, b: 0.050000 
x: -0.02, y: -0.14, b: 0.050000 
x: -0.02, y: -0.12, b: 0.050000 
x: -0.02, y: -0.10, b: 0.050000 
x: -0.02, y: -0.08, b: 0.050000 
x: -0.02, y: -0.06, b: 0.050000 
x: -0.02, y: -0.04, b: 0.050000 
x: -0.02, y: -0.02, b: 0.050000 
x: -0.02, y: 0.00, b: 0.050000 
x: -0.02, y: 0.02, b: 0.050000 
x: -0.02, y: 0.04, b: 0.050000 
x: -0.02, y: 0.06, b: 0.050000 
x: -0.02, y: 0.08, b: 0.050000 
x: -0.02, y: 0.10, b: 0.050000 
x: -0.02, y: 0.12, b: 0.050000 
x: -0.02, y: 0.14, b: 0.050000 
x: -0.02, y: 0.16, b: 0.050000 
x: -0.02, y: 0.18, b: 0.133994 
x: -0.02, y: 0.20, b: 0.229306 
x: -0.02, y: 0.22, b: 0.341289 
x: -0.02, y: 0.24, b: 0.484611 
x: -0.01, y: -0.24, b: 0.050000 
x: -0.01, y: -0.22, b: 0.050000 
x: -0.01, y: -0.20, b: 0.050000 
x: -0.01, y: -0.18, b: 0.050000 
x: -0.01, y: -0.16, b: 0.050000 
x: -0.01, y: -0.14, b: 0.050000 
x: -0.01, y: -0.12, b: 0.050000 
x: -0.01, y: -0.10, b: 0.050000 
x: -0.01, y: -0.08, b: 0.050000 
x: -0.01, y: -0.06, b: 0.050000 
x: -0.01, y: -0.04, b: 0.050000 
x: -0.01, y: -0.02, b: 0.050000 
x: -0.01, y: 0.00, b: 0.050000 
x: -0.01, y: 0.02, b: 0.050000 
x: -0.01, y: 0.04, b: 0.050000 
x: -0.01, y: 0.06, b: 0.050000 
x: -0.01, y: 0.08, b: 0.050000 
x: -0.01, y: 0.10, b: 0.050000 
x: -0.01, y: 0.12, b: 0.050000 
x: -0.01, y: 0.14, b: 0.050000 
x: -0.01, y: 0.16, b: 0.050000 
x: -0.01, y: 0.18, b: 0.132856 
x: -0.01, y: 0.20, b: 0.227930 
x: -0.01, y: 0.22, b: 0.339441 
x: -0.01, y: 0.24, b: 0.481665 
x: 0.00, y: -0.24, b: 0.050000 
x: 0.00, y: -0.22, b: 0.050000 
x: 0.00, y: -0.20, b: 0.050000 
x: 0.00, y: -0.18, b: 0.050000 
x: 0.00, y: -0.16, b: 0.050000 
x: 0.00, y: -0.14, b: 0.050000 
x: 0.00, y: -0.12, b: 0.050000 
x: 0.00, y: -0.10, b: 0.050000 
x: 0.00, y: -0.08, b: 0.050000 
x: 0.00, y: -0.06, b: 0.050000 
x: 0.00, y: -0.04, b: 0.050000 
x: 0.00, y: -0.02, b: 0.050000 
x: 0.00, y: 0.00, b: 0.050000 
x: 0.00, y: 0.02, b: 0.050000 
x: 0.00, y: 0.04, b: 0.050000 
x: 0.00, y: 0.06, b: 0.050000 
x: 0.00, y: 0.08, b: 0.050000 
x: 0.00, y: 0.10, b: 0.050000 
x: 0.00, y: 0.12, b: 0.050000 
x: 0.00, y: 0.14, b: 0.050000 
x: 0.00, y: 0.16, b: 0.050000 
x: 0.00, y: 0.18, b: 0.132508 
x: 0.00, y: 0.20, b: 0.227501 
x: 0.00, y: 0.22, b: 0.338873 
x: 0.00, y: 0.24, b: 0.480763 
x: 0.01, y: -0.24, b: 0.050000 
x: 0.01, y: -0.22, b: 0.050000 
x: 0.01, y: -0.20, b: 0.050000 
x: 0.01, y: -0.18, b: 0.050000 
x: 0.01, y: -0.16, b: 0.050000 
x: 0.01, y: -0.14, b: 0.050000 
x: 0.01, y: -0.12, b: 0.050000 
x: 0.01, y: -0.10, b: 0.050000 
x: 0.01, y: -0.08, b: 0.050000 
x: 0.01, y: -0.06, b: 0.050000 
x: 0.01, y: -0.04, b: 0.050000 
x: 0.01, y: -0.02, b: 0.050000 
x: 0.01, y: 0.00, b: 0.050000 
x: 0.01, y: 0.02, b: 0.050000 
x: 0.01, y: 0.04, b: 0.050000 
x: 0.01, y: 0.06, b: 0.050000 
x: 0.01, y: 0.08, b: 0.050000 
x: 0.01, y: 0.10, b: 0.050000 
x: 0.01, y: 0.12, b: 0.050000 
x: 0.01, y: 0.14, b: 0.050000 
x: 0.01, y: 0.16, b: 0.050000 
x: 0.01, y: 0.18, b: 0.132928 
x: 0.01, y: 0.20, b: 0.228034 
x: 0.01, y: 0.22, b: 0.339585 
x: 0.01, y: 0.24, b: 0.481863 
x: 0.02, y: -0.24, b: 0.050000 
x: 0.02, y: -0.22, b: 0.050000 
x: 0.02, y: -0.20, b: 0.050000 
x: 0.02, y: -0.18, b: 0.050000 
x: 0.02, y: -0.16, b: 0.050000 
x: 0.02, y: -0.14, b: 0.050000 
x: 0.02, y: -0.12, b: 0.050000 
x: 0.02, y: -0.10, b: 0.050000 
x: 0.02, y: -0.08, b: 0.050000 
x: 0.02, y: -0.06, b: 0.050000 
x: 0.02, y: -0.04, b: 0.050000 
x: 0.02, y: -0.02, b: 0.050000 
x: 0.02, y: 0.00, b: 0.050000 
x: 0.02, y: 0.02, b: 0.050000 
x: 0.02, y: 0.04, b: 0.050000 
x: 0.02, y: 0.06, b: 0.050000 
x: 0.02, y: 0.08, b: 0.050000 
x: 0.02, y: 0.10, b: 0.050000 
x: 0.02, y: 0.12, b: 0.050000 
x: 0.02, y: 0.14, b: 0.050000 
x: 0.02, y: 0.16, b: 0.050000 
x: 0.02, y: 0.18, b: 0.134139 
x: 0.02, y: 0.20, b: 0.229520 
x: 0.02, y: 0.22, b: 0.341578 
x: 0.02, y: 0.24, b: 0.485009 
x: 0.03, y: -0.24, b: 0.050000 
x: 0.03, y: -0.22, b: 0.050000 
x: 0.03, y: -0.20, b: 0.050000 
x: 0.03, y: -0.18, b: 0.050000 
x: 0.03, y: -0.16, b: 0.050000 
x: 0.03, y: -0.14, b: 0.050000 
x: 0.03, y: -0.12, b: 0.050000 
x: 0.03, y: -0.10, b: 0.050000 
x: 0.03, y: -0.08, b: 0.050000 
x: 0.03, y: -0.06, b: 0.050000 
x: 0.03, y: -0.04, b: 0.050000 
x: 0.03, y: -0.02, b: 0.050000 
x: 0.03, y: 0.00, b: 0.050000 
x: 0.03, y: 0.02, b: 0.050000 
x: 0.03, y: 0.04, b: 0.050000 
x: 0.03, y: 0.06, b: 0.050000 
x: 0.03, y: 0.08, b: 0.050000 
x: 0.03, y: 0.10, b: 0.050000 
x: 0.03, y: 0.12, b: 0.050000 
x: 0.03, y: 0.14, b: 0.050000 
x: 0.03, y: 0.16, b: 0.051153 
x: 0.03, y: 0.18, b: 0.136110 
x: 0.03, y: 0.20, b: 0.231990 
x: 0.03, y: 0.22, b: 0.344863 
x: 0.03, y: 0.24, b: 0.490897 
x: 0.04, y: -0.24, b: 0.050000 
